mapeFalse,mapeTrue,sensor,epochs,time_lag,dropout
0.6999214,0.10532677,3,200,8,0.1
0.68951327,0.099657826,3,200,8,0.2
0.7087215,0.1104596,3,200,8,0.3
0.9364895,0.08833261,3,200,8,0.4
0.7209863,0.11941352,3,200,8,0.5
0.84916466,0.1039181,3,200,9,0.0
0.75542754,0.115224704,3,200,9,0.1
0.85966814,0.119435675,3,200,9,0.2
0.7380515,0.11650511,3,200,9,0.3
0.8644759,0.13297448,3,200,9,0.4
0.97789747,0.11824919,3,200,9,0.5
0.45516896,0.17345397,3,200,10,0.0
0.55377585,0.19597378,3,200,10,0.1
0.5547879,0.21920472,3,200,10,0.2
0.51347,0.18954468,3,200,10,0.3
0.67931324,0.2319081,3,200,10,0.4
0.76576453,0.23291782,3,200,10,0.5
0.33754575,0.03430311,3,250,2,0.0
0.6130975,0.037818473,3,250,2,0.1
0.78039426,0.04303212,3,250,2,0.2
0.6035466,0.044833135,3,250,2,0.3
0.62852025,0.041896347,3,250,2,0.4
0.6208973,0.04504453,3,250,2,0.5
0.34968397,0.060710832,3,250,3,0.0
0.44868577,0.055330317,3,250,3,0.1
0.45095226,0.060718983,3,250,3,0.2
0.89992493,0.063163504,3,250,3,0.3
0.57504606,0.07158525,3,250,3,0.4
0.46347332,0.07017644,3,250,3,0.5
0.37026447,0.054367296,3,250,4,0.0
0.44198704,0.067145094,3,250,4,0.1
0.49668008,0.063900985,3,250,4,0.2
0.5623277,0.07136373,3,250,4,0.3
0.5770609,0.07016573,3,250,4,0.4
0.52747923,0.06447835,3,250,4,0.5
0.3702936,0.14018689,3,250,5,0.0
0.3987785,0.17656086,3,250,5,0.1
0.46389073,0.19253096,3,250,5,0.2
0.47780737,0.17282598,3,250,5,0.3
0.54452574,0.19814883,3,250,5,0.4
0.5102805,0.17227228,3,250,5,0.5
0.45582804,0.107172556,3,250,6,0.0
0.4852949,0.10725079,3,250,6,0.1
0.5144965,0.13288628,3,250,6,0.2
0.55961156,0.10571844,3,250,6,0.3
0.590074,0.14146766,3,250,6,0.4
0.55947715,0.11792337,3,250,6,0.5
0.55880606,0.1410599,3,250,7,0.0
0.6842333,0.18899469,3,250,7,0.1
