target_1,y_test_1,predicted_1,target_2,y_test_2,predicted_2,target_3,y_test_3,predicted_3,target_4,y_test_4,predicted_4,target_5,y_test_5,predicted_5,target_6,y_test_6,predicted_6,target_7,y_test_7,predicted_7
11.931,11.931,13.257261,12.172,12.172001,13.303135,11.266,11.266,12.305605,11.505,11.505,12.810748,14.442,14.442,13.645605,15.503,15.503,13.130553,15.346,15.346,13.8640175
20.972,20.971998,14.810365,20.275,20.275,13.9867325,20.521,20.521,13.160565,20.667,20.667,13.457857,21.451,21.451,14.501641,22.583,22.583002,14.308912,22.158,22.158,15.214834
12.479,12.479,10.2269945,12.574,12.574001,10.072972,12.354,12.354001,9.66836,12.311,12.311,10.292639,12.962,12.962,10.969831,13.376,13.376,10.452169,13.273,13.273,10.813261
9.731,9.730999,8.532322,9.703,9.703,8.618258,9.672,9.672001,8.414433,9.609,9.609,9.037926,9.907,9.907,9.4084635,9.891,9.891001,9.036939,10.127,10.127,9.371472
8.995,8.995,8.246604,9.015,9.015001,8.6054125,8.926,8.926,8.353066,8.869,8.869,9.368802,9.233,9.233,9.289713,9.196,9.196,8.893682,9.601,9.601,9.1151495
8.815,8.815001,7.427353,8.84,8.84,7.8256345,8.818,8.817999,7.5184555,8.77,8.7699995,8.668448,8.97,8.97,8.96825,8.991,8.991001,7.976736,9.403,9.403001,8.304431
8.355,8.355,6.806103,8.371,8.371,7.380834,8.411,8.411,6.8818655,8.308,8.308001,7.703073,8.624,8.624,8.15761,8.705,8.705,7.449453,8.94,8.94,7.4897513
6.021,6.021,5.112055,6.027,6.027,5.7936983,6.056,6.056,5.463227,6.123,6.123,6.0170093,6.366,6.366,6.342196,6.364,6.364,5.9124813,6.996,6.996,5.812614
3.53,3.5300004,2.4804826,3.498,3.4979997,3.1056712,3.53,3.53,2.9830246,3.658,3.658,3.5100615,3.497,3.4970002,3.8202689,3.515,3.5149999,3.3101463,4.299,4.299,2.584426
6.507,6.5069995,6.2344046,6.595,6.5950003,6.692433,6.325,6.325,6.1079383,6.236,6.236,6.830634,7.921,7.921,7.1439476,8.476,8.475999,6.7883954,8.63,8.63,6.5337653
9.131,9.1310005,8.820343,9.407,9.407,9.19131,9.117,9.117001,8.370693,9.379,9.379,9.076042,10.127,10.127,9.4093685,10.124,10.124,8.947963,10.692,10.692,9.111586
13.37,13.369999,9.349548,13.481,13.481,9.350188,12.886,12.886,8.668929,13.557,13.557,9.235009,15.367,15.367,9.593002,15.964,15.963999,9.371236,16.181,16.181,9.965854
5.942,5.942,4.8548083,6.081,6.081,4.996956,6.096,6.0960007,5.1107683,6.175,6.175,5.764492,7.165,7.1650004,6.0134425,7.156,7.156,5.4329505,7.688,7.688,5.011123
2.495,2.4950001,3.4343731,2.547,2.547,3.8682992,2.518,2.518,3.501993,2.598,2.5980003,4.7326527,4.066,4.066,4.7444916,4.208,4.208,4.354625,4.483,4.483,3.5105736
1.654,1.6540003,1.6369503,1.588,1.5879998,2.6847649,1.581,1.5810001,2.362725,1.646,1.6459999,3.7659376,3.459,3.4590003,3.8698537,3.497,3.497,3.3618374,3.909,3.9090002,2.1731617
0.477,0.47699997,-1.038679,0.613,0.613,0.2761134,0.751,0.75100017,-0.24973819,0.671,0.671,1.4045482,2.145,2.145,1.4334475,2.376,2.376,0.021727618,2.63,2.63,-0.4222292
-0.777,-0.77700007,-0.58940506,-0.715,-0.71500003,0.7258416,-0.643,-0.64300007,0.30612203,-0.604,-0.6039999,1.809508,0.908,0.908,1.9288971,1.035,1.0349998,0.4951538,1.563,1.563,-0.009750022
1.983,1.9830003,-0.10917287,2.034,2.034,1.0987464,1.978,1.9779999,0.5113148,2.025,2.0249999,1.811017,3.18,3.1800003,2.03291,3.287,3.2869995,0.7867391,3.541,3.5410001,0.08428887
1.408,1.4079999,2.1700685,1.291,1.2909997,2.6625862,1.221,1.2209998,2.168368,1.306,1.3060001,3.1910534,2.753,2.7530003,3.3293872,2.961,2.9609997,2.5008702,3.128,3.1280003,1.6677195
11.423,11.423,10.719992,12.193,12.193,10.642544,11.333,11.333001,9.393907,11.989,11.989,10.528414,13.838,13.838,10.082786,14.973,14.973,9.542286,15.121,15.121,10.469354
19.338,19.337997,13.215788,20.171,20.171,11.996081,18.253,18.253,11.280272,20.72,20.72,12.035298,22.335,22.335,11.478374,24.373,24.373001,11.541451,22.03,22.03,12.636361
